age,income,education,gender,hours_per_week,occupation,marital_status,health_condition
60,55499.223812956894,Universitario,Masculino,32.0,Ingeniero,Soltero,Regular
49,59834.913843181144,Universitario,Femenino,47.0,Ingeniero,Soltero,Mala
19,44187.38925830914,Maestría,Masculino,44.0,Ingeniero,Casado,Regular
19,41766.857985079856,Doctorado,Otro,44.0,Ama de casa,Viudo,Regular
57,48745.2546972996,Bachillerato,Masculino,24.0,Ingeniero,Casado,Regular
59,,Maestría,Otro,50.0,nan,Soltero,Buena
53,33984.27637471838,Maestría,Masculino,44.0,Ama de casa,Viudo,Buena
56,55442.764956542276,Bachillerato,Otro,55.0,Artista,Divorciado,Regular
29,54869.59922221873,Bachillerato,Masculino,31.0,Doctor,Soltero,Regular
64,32186.82488726541,Bachillerato,Masculino,27.0,nan,Casado,Regular
36,54031.66855699288,Universitario,Femenino,46.0,Doctor,Divorciado,Mala
45,33721.018438602405,Doctorado,Otro,50.0,Comerciante,Divorciado,Regular
18,61325.850704508564,Universitario,Masculino,58.0,Doctor,Viudo,Buena
32,43900.63828996373,Bachillerato,Masculino,57.0,Artista,Viudo,Mala
53,68142.51845179319,Maestría,Otro,32.0,Ingeniero,Casado,Buena
30,47395.10734711037,Universitario,Masculino,35.0,Comerciante,Divorciado,Buena
60,44604.89803482409,Universitario,Femenino,35.0,Artista,Viudo,Buena
38,40173.20026189455,Doctorado,Femenino,38.0,Estudiante,Soltero,Buena
29,54825.768339700284,Doctorado,Masculino,60.0,nan,Divorciado,Mala
22,55816.24362798025,Universitario,Femenino,58.0,Ama de casa,Soltero,Mala
24,42002.73849009357,Bachillerato,Masculino,38.0,Ingeniero,Casado,Buena
22,,Maestría,Otro,54.0,Ama de casa,Soltero,Buena
21,,Bachillerato,Otro,60.0,Ingeniero,Casado,Buena
30,30450.660360955655,Bachillerato,Femenino,23.0,Estudiante,Viudo,Mala
54,61442.07874008812,Bachillerato,Masculino,36.0,Comerciante,Viudo,Mala
58,48381.25611205492,Doctorado,Otro,36.0,Estudiante,Viudo,Mala
32,56683.99733580162,Universitario,Masculino,46.0,Doctor,Divorciado,Mala
33,67025.20547963647,Doctorado,Otro,40.0,nan,Divorciado,Buena
38,47616.39939597506,Maestría,Otro,27.0,Artista,Viudo,Mala
53,,Bachillerato,Otro,58.0,Ingeniero,Viudo,Mala
41,40930.291493426164,Universitario,Femenino,41.0,Doctor,Soltero,Regular
33,64554.034778047055,Maestría,Masculino,23.0,Artista,Divorciado,Regular
31,61345.24371943225,Doctorado,Masculino,51.0,Ingeniero,Viudo,Regular
39,66533.59769131355,Bachillerato,Otro,42.0,Doctor,Casado,Buena
23,64398.82667842406,Doctorado,Femenino,22.0,Ama de casa,Soltero,Regular
59,55736.984399068555,Maestría,Femenino,29.0,Comerciante,Soltero,Buena
53,46230.43129791189,Universitario,Otro,36.0,Doctor,Viudo,Mala
18,79725.47477638979,Doctorado,Otro,27.0,Artista,Viudo,Regular
49,47435.380559202305,Doctorado,Otro,21.0,Ama de casa,Soltero,Buena
23,87938.41371424604,Doctorado,Otro,29.0,Doctor,Viudo,Mala
48,48910.16948006889,Universitario,Otro,36.0,Ingeniero,Casado,Mala
18,62793.05227111732,Universitario,Femenino,46.0,Estudiante,Casado,Regular
54,46748.27201039077,Universitario,Masculino,34.0,nan,Casado,Mala
52,32114.974382245404,Universitario,Masculino,44.0,Estudiante,Casado,Mala
47,61792.43444868314,Universitario,Femenino,28.0,Ingeniero,Viudo,Mala
21,47352.68977589355,Universitario,Otro,56.0,Ingeniero,Casado,Regular
52,57968.66265583575,Universitario,Femenino,30.0,Estudiante,Casado,Mala
60,40493.27775292579,Universitario,Masculino,50.0,Ingeniero,Soltero,Mala
31,,Universitario,Masculino,20.0,Ama de casa,Soltero,Mala
57,39740.09013834161,Universitario,Femenino,30.0,Doctor,Viudo,Mala
39,58674.454530306735,Maestría,Masculino,47.0,Ama de casa,Viudo,Mala
27,74068.92655209349,Bachillerato,Masculino,25.0,Doctor,Divorciado,Regular
18,62197.89361057749,Bachillerato,Masculino,27.0,Ama de casa,Viudo,Regular
28,39239.27669858698,Universitario,Femenino,38.0,Doctor,Divorciado,Mala
61,44328.61811977745,Bachillerato,Masculino,28.0,Artista,Soltero,Regular
41,69857.33315827699,Maestría,Masculino,40.0,Estudiante,Divorciado,Buena
20,42330.97186526134,Maestría,Masculino,24.0,Estudiante,Casado,Mala
52,50152.016964468945,Universitario,Femenino,55.0,Artista,Casado,Regular
53,45836.988016392264,Universitario,Masculino,30.0,Comerciante,Divorciado,Buena
48,41509.20254888613,Maestría,Masculino,31.0,Doctor,Divorciado,Mala
21,66019.00290100087,Bachillerato,Femenino,53.0,Ama de casa,Viudo,Buena
36,52727.30039112333,Maestría,Masculino,28.0,Ingeniero,Casado,Mala
64,50315.72917072989,Bachillerato,Otro,52.0,Doctor,Viudo,Mala
53,54095.504100490514,Universitario,Femenino,51.0,Artista,Casado,Buena
38,,Bachillerato,Masculino,28.0,Comerciante,Casado,Regular
35,41512.28431678645,Universitario,Otro,21.0,Comerciante,Casado,Regular
45,5271.204506211063,Bachillerato,Masculino,22.0,nan,Soltero,Regular
32,39030.574235128035,Doctorado,Otro,43.0,Comerciante,Casado,Regular
59,40410.89120366304,Doctorado,Masculino,32.0,Estudiante,Casado,Regular
19,54695.404397806524,Doctorado,Masculino,32.0,Ingeniero,Viudo,Regular
54,70779.36713014082,Universitario,Masculino,57.0,Ingeniero,Soltero,Buena
28,24161.644530200996,Bachillerato,Masculino,40.0,Estudiante,Soltero,Regular
40,47331.74421603448,Bachillerato,Otro,36.0,Ama de casa,Divorciado,Buena
61,45623.31581005826,Doctorado,Femenino,47.0,Ingeniero,Soltero,Mala
58,,Doctorado,Femenino,33.0,nan,Soltero,Regular
29,18923.568710023173,Bachillerato,Masculino,34.0,Ingeniero,Casado,Regular
20,41511.9865312172,Bachillerato,Masculino,50.0,Estudiante,Divorciado,Regular
34,47975.86616440974,Doctorado,Masculino,43.0,Estudiante,Viudo,Buena
50,39524.91780097214,Maestría,Femenino,53.0,Estudiante,Soltero,Mala
18,,Bachillerato,Femenino,21.0,Comerciante,Soltero,Regular
56,,Doctorado,Otro,47.0,Ingeniero,Viudo,Buena
37,27843.878419751203,Universitario,Masculino,26.0,Ingeniero,Casado,Buena
64,41954.55503965882,Maestría,Otro,32.0,Artista,Divorciado,Regular
60,46394.77907525129,Universitario,Otro,54.0,Ama de casa,Viudo,Buena
58,,Doctorado,Femenino,24.0,Ama de casa,Divorciado,Mala
31,51793.62375846872,Universitario,Otro,47.0,Ingeniero,Viudo,Buena
48,46327.63455564453,Doctorado,Femenino,42.0,nan,Viudo,Mala
42,,Bachillerato,Otro,43.0,nan,Soltero,Buena
20,77492.74807968695,Universitario,Femenino,57.0,Estudiante,Viudo,Mala
21,29234.516401010736,Doctorado,Masculino,42.0,Estudiante,Casado,Mala
48,49834.60188985441,Bachillerato,Masculino,23.0,nan,Viudo,Buena
52,49195.16116530507,Bachillerato,Otro,28.0,Comerciante,Soltero,Regular
61,49035.01169536891,Maestría,Otro,38.0,Ama de casa,Casado,Buena
31,52693.9921949535,Universitario,Femenino,43.0,Doctor,Casado,Buena
58,35275.033807682754,Bachillerato,Masculino,52.0,Ama de casa,Viudo,Buena
26,54764.451566114374,Maestría,Masculino,36.0,Doctor,Divorciado,Mala
37,47296.453071981916,Universitario,Femenino,34.0,Estudiante,Divorciado,Buena
49,64780.18523916702,Universitario,Masculino,24.0,Comerciante,Casado,Buena
26,32550.26267931817,Universitario,Otro,39.0,Ama de casa,Casado,Mala
44,50992.06389000779,Maestría,Otro,48.0,Doctor,Viudo,Regular
20,52101.581856885365,Maestría,Otro,60.0,nan,Divorciado,Regular
21,,Bachillerato,Otro,55.0,Artista,Soltero,Buena
62,43121.37370462448,Maestría,Femenino,58.0,Estudiante,Divorciado,Mala
32,,Universitario,Masculino,32.0,Comerciante,Divorciado,Regular
50,37066.99827281467,Bachillerato,Masculino,32.0,Comerciante,Soltero,Buena
22,51119.76265627386,Universitario,Otro,58.0,Ama de casa,Casado,Regular
21,18844.055289340555,Universitario,Masculino,55.0,Ama de casa,Casado,Mala
63,64529.40233703195,Bachillerato,Otro,59.0,Comerciante,Divorciado,Mala
29,53592.656298546186,Doctorado,Femenino,21.0,Comerciante,Soltero,Mala
40,61996.46360042801,Maestría,Otro,41.0,Doctor,Divorciado,Buena
31,39293.84081504036,Universitario,Otro,29.0,Estudiante,Soltero,Buena
63,43112.703997060475,Bachillerato,Otro,33.0,Estudiante,Soltero,Regular
29,66146.05365427547,Doctorado,Otro,24.0,nan,Casado,Buena
34,61529.74260772207,Universitario,Femenino,35.0,Doctor,Soltero,Regular
42,65639.62448660404,Bachillerato,Otro,23.0,Artista,Viudo,Regular
47,32501.23668141105,Bachillerato,Femenino,37.0,Artista,Soltero,Buena
39,49713.56269427648,Doctorado,Otro,41.0,Ama de casa,Soltero,Buena
64,54371.81021386318,Maestría,Otro,48.0,Ingeniero,Viudo,Buena
43,38807.029350692625,Bachillerato,Femenino,23.0,Doctor,Divorciado,Mala
34,34602.84011101091,Doctorado,Masculino,48.0,Ingeniero,Viudo,Buena
37,66977.06344773961,Doctorado,Femenino,59.0,Ingeniero,Divorciado,Buena
51,40380.5493765428,Bachillerato,Femenino,32.0,Comerciante,Soltero,Buena
58,57242.90133446155,Doctorado,Otro,47.0,nan,Divorciado,Buena
50,56653.11663093179,Doctorado,Masculino,40.0,Comerciante,Soltero,Mala
54,46253.99621800154,Maestría,Masculino,20.0,Estudiante,Divorciado,Regular
24,60817.77925514603,Bachillerato,Masculino,44.0,Ama de casa,Soltero,Mala
39,35313.74941820379,Universitario,Otro,47.0,nan,Soltero,Buena
49,47788.350991069645,Maestría,Masculino,,Ama de casa,Casado,Regular
31,58774.22271678647,Bachillerato,Otro,51.0,Ama de casa,Divorciado,Buena
25,55806.628610266474,Doctorado,Femenino,37.0,Ama de casa,Soltero,Mala
42,24508.36786446288,Universitario,Femenino,46.0,Ingeniero,Divorciado,Mala
33,36058.92065177645,Universitario,Femenino,31.0,Estudiante,Viudo,Regular
59,43930.10824895152,Bachillerato,Femenino,33.0,Estudiante,Viudo,Buena
36,,Maestría,Femenino,46.0,Doctor,Viudo,Mala
58,16014.731372187656,Maestría,Otro,34.0,Estudiante,Divorciado,Regular
33,62915.956096769085,Doctorado,Masculino,45.0,Doctor,Soltero,Regular
29,42059.87234784246,Universitario,Femenino,35.0,Comerciante,Casado,Mala
56,36148.963284956546,Doctorado,Otro,37.0,Estudiante,Viudo,Buena
47,38024.78569738831,Bachillerato,Otro,37.0,Doctor,Soltero,Regular
19,55804.68299678003,Universitario,Masculino,20.0,Estudiante,Casado,Regular
49,49812.1496346556,Universitario,Masculino,56.0,Estudiante,Soltero,Buena
62,40972.918253741416,Bachillerato,Femenino,30.0,nan,Soltero,Buena
42,26123.949984445644,Bachillerato,Femenino,27.0,Doctor,Soltero,Mala
42,40392.76672858968,Bachillerato,Masculino,40.0,Comerciante,Viudo,Mala
21,37267.01028208189,Bachillerato,Otro,51.0,Estudiante,Soltero,Buena
36,55253.23432648452,Doctorado,Femenino,45.0,Artista,Casado,Mala
21,20572.612449852873,Maestría,Femenino,36.0,nan,Viudo,Regular
60,56914.24447258848,Doctorado,Femenino,52.0,Ama de casa,Casado,Buena
30,61989.61325806665,Universitario,Otro,49.0,Doctor,Viudo,Buena
56,30970.24355164681,Bachillerato,Femenino,45.0,Ingeniero,Soltero,Mala
53,18909.34183608978,Bachillerato,Otro,42.0,Ama de casa,Viudo,Buena
40,57220.23319026887,Doctorado,Otro,47.0,Comerciante,Casado,Regular
23,,Bachillerato,Femenino,38.0,nan,Soltero,Buena
41,48007.68494105981,Doctorado,Masculino,31.0,Doctor,Casado,Mala
61,48170.88527194458,Doctorado,Otro,35.0,Comerciante,Casado,Buena
50,61083.81485966223,Maestría,Femenino,28.0,Ingeniero,Soltero,Regular
29,30637.55764361541,Bachillerato,Masculino,52.0,Doctor,Casado,Mala
58,40055.44694305888,Bachillerato,Masculino,46.0,Ama de casa,Casado,Regular
38,51034.52995514349,Doctorado,Femenino,34.0,Estudiante,Casado,Buena
28,21632.481837079016,Universitario,Otro,56.0,Comerciante,Casado,Buena
61,49856.59084453837,Doctorado,Femenino,58.0,Estudiante,Casado,Mala
55,,Maestría,Femenino,42.0,nan,Viudo,Regular
46,45619.28667651697,Universitario,Femenino,22.0,Estudiante,Divorciado,Mala
58,43543.4361269111,Universitario,Femenino,38.0,Comerciante,Viudo,Buena
20,,Bachillerato,Femenino,46.0,Comerciante,Casado,Regular
45,54749.30734138457,Bachillerato,Masculino,37.0,Ama de casa,Soltero,Mala
37,45984.437696786656,Maestría,Masculino,20.0,Estudiante,Divorciado,Buena
43,61244.52766757117,Universitario,Otro,42.0,Estudiante,Casado,Mala
41,26069.206234755344,Doctorado,Otro,32.0,Doctor,Soltero,Mala
64,74180.05440957673,Maestría,Femenino,56.0,nan,Viudo,Regular
38,31157.08356448509,Bachillerato,Femenino,29.0,Ingeniero,Soltero,Buena
47,46012.50190113889,Universitario,Masculino,29.0,Comerciante,Viudo,Mala
21,25201.917692831958,Bachillerato,Otro,20.0,Estudiante,Casado,Mala
53,54875.46135429662,Universitario,Otro,30.0,Doctor,Divorciado,Mala
57,,Bachillerato,Femenino,34.0,Ingeniero,Soltero,Buena
27,23083.13624451616,Doctorado,Otro,26.0,Ama de casa,Viudo,Regular
27,64794.6569136135,Bachillerato,Femenino,43.0,Estudiante,Viudo,Regular
59,64482.62723761935,Bachillerato,Femenino,45.0,Ama de casa,Divorciado,Buena
41,30901.493698786606,Bachillerato,Otro,47.0,Artista,Soltero,Mala
21,62443.11596169579,Universitario,Masculino,30.0,Ingeniero,Divorciado,Buena
64,76170.33330857125,Doctorado,Masculino,27.0,Ama de casa,Soltero,Regular
44,56821.59076020388,Maestría,Otro,48.0,Ama de casa,Divorciado,Buena
62,63546.604348799745,Bachillerato,Femenino,46.0,Ingeniero,Divorciado,Mala
21,49985.708143821634,Universitario,Femenino,50.0,nan,Viudo,Buena
49,51624.33695438657,Bachillerato,Masculino,35.0,Ingeniero,Divorciado,Mala
27,50941.546305047974,Bachillerato,Masculino,31.0,Artista,Soltero,Mala
28,38542.83108596341,Universitario,Otro,52.0,nan,Casado,Mala
45,51776.642415141694,Doctorado,Masculino,,Doctor,Casado,Regular
63,40340.04979412467,Maestría,Femenino,27.0,Artista,Casado,Mala
25,39598.90454396199,Universitario,Masculino,56.0,Estudiante,Divorciado,Buena
57,40445.93078147018,Bachillerato,Femenino,58.0,Artista,Divorciado,Buena
39,,Universitario,Femenino,25.0,nan,Soltero,Regular
51,,Maestría,Masculino,28.0,Comerciante,Divorciado,Buena
62,37792.643017860646,Maestría,Otro,57.0,Ingeniero,Soltero,Mala
52,59882.08750604767,Doctorado,Femenino,38.0,Comerciante,Viudo,Regular
52,50607.65020658241,Doctorado,Otro,43.0,Doctor,Divorciado,Mala
42,38055.684357866296,Maestría,Masculino,49.0,Estudiante,Divorciado,Regular
51,52875.2943306862,Bachillerato,Masculino,29.0,Ingeniero,Divorciado,Buena
23,,Maestría,Femenino,29.0,Artista,Viudo,Mala
58,73352.52854481772,Bachillerato,Masculino,30.0,Comerciante,Casado,Regular
54,45911.909922764855,Doctorado,Femenino,32.0,Estudiante,Divorciado,Regular
18,56713.48196781681,Bachillerato,Masculino,59.0,Doctor,Casado,Regular
29,,Maestría,Femenino,39.0,Ama de casa,Soltero,Buena
52,54030.2490748864,Universitario,Femenino,43.0,Estudiante,Divorciado,Mala
23,58445.90741918596,Bachillerato,Masculino,48.0,Comerciante,Soltero,Regular
34,37727.55748701826,Maestría,Masculino,50.0,Doctor,Soltero,Buena
26,61265.112579269946,Universitario,Femenino,29.0,Comerciante,Viudo,Mala
19,58095.69208815512,Universitario,Masculino,20.0,Estudiante,Divorciado,Mala
35,51782.178073251634,Bachillerato,Masculino,58.0,Artista,Casado,Regular
53,26410.125194838165,Bachillerato,Femenino,32.0,nan,Viudo,Regular
45,67194.81345251422,Doctorado,Masculino,,Ingeniero,Soltero,Buena
58,47600.81036137956,Universitario,Masculino,,Artista,Divorciado,Buena
54,26137.284343347903,Doctorado,Femenino,50.0,Comerciante,Soltero,Buena
43,67103.83358121544,Doctorado,Masculino,58.0,Ingeniero,Divorciado,Buena
21,50802.4793848674,Bachillerato,Femenino,54.0,Comerciante,Soltero,Regular
57,60069.23392005251,Universitario,Femenino,25.0,Ingeniero,Casado,Regular
53,46614.331365703365,Universitario,Otro,51.0,nan,Viudo,Regular
48,53157.36100432542,Doctorado,Masculino,26.0,nan,Casado,Buena
47,68901.34113580862,Maestría,Femenino,42.0,Comerciante,Divorciado,Buena
51,37364.14809837451,Bachillerato,Masculino,34.0,nan,Divorciado,Mala
36,56451.71721890819,Bachillerato,Masculino,22.0,Artista,Divorciado,Mala
35,50870.715293571055,Universitario,Femenino,58.0,Estudiante,Viudo,Buena
47,48372.08892908702,Universitario,Femenino,49.0,Doctor,Divorciado,Mala
38,54175.341071112416,Doctorado,Otro,23.0,Ingeniero,Viudo,Mala
20,47234.61691256377,Universitario,Otro,46.0,Estudiante,Divorciado,Regular
23,66889.47819130351,Universitario,Otro,54.0,Ama de casa,Viudo,Regular
55,35187.32965912603,Bachillerato,Otro,51.0,Comerciante,Soltero,Regular
30,29988.963069640024,Doctorado,Otro,30.0,Ingeniero,Viudo,Mala
62,46893.81346975671,Doctorado,Otro,33.0,nan,Viudo,Buena
20,,Doctorado,Masculino,40.0,Doctor,Divorciado,Buena
45,42431.99485478468,Maestría,Otro,35.0,nan,Viudo,Buena
39,49260.350150933664,Bachillerato,Masculino,22.0,Comerciante,Divorciado,Mala
57,35132.35082527257,Bachillerato,Masculino,46.0,Estudiante,Casado,Buena
57,34757.457644329246,Doctorado,Masculino,33.0,Estudiante,Soltero,Buena
29,59218.87261878917,Maestría,Masculino,42.0,Comerciante,Casado,Mala
40,53258.515210892976,Universitario,Masculino,47.0,Artista,Soltero,Regular
48,63372.8040489634,Doctorado,Femenino,60.0,Artista,Viudo,Regular
35,61795.283259481046,Bachillerato,Otro,25.0,Ingeniero,Soltero,Mala
24,27423.613937774513,Maestría,Masculino,52.0,Doctor,Divorciado,Mala
25,43086.51995560033,Universitario,Masculino,48.0,Ingeniero,Viudo,Mala
36,36261.03645910634,Doctorado,Otro,58.0,Ama de casa,Viudo,Buena
46,34304.43263611047,Universitario,Femenino,39.0,Artista,Viudo,Regular
61,42737.86490691031,Doctorado,Femenino,52.0,Ingeniero,Viudo,Buena
37,71935.71019763216,Bachillerato,Femenino,30.0,nan,Casado,Mala
59,64249.76447082513,Bachillerato,Femenino,40.0,Artista,Viudo,Regular
47,52185.699851388345,Universitario,Masculino,24.0,Ama de casa,Viudo,Buena
64,48900.51760722521,Bachillerato,Otro,35.0,Comerciante,Soltero,Mala
39,57492.132536152734,Doctorado,Otro,39.0,Ama de casa,Divorciado,Buena
27,50157.744395206035,Maestría,Masculino,32.0,nan,Divorciado,Buena
43,,Maestría,Femenino,56.0,nan,Casado,Buena
50,23021.389181998224,Bachillerato,Otro,50.0,Estudiante,Casado,Mala
45,,Maestría,Masculino,41.0,nan,Divorciado,Regular
27,52077.7416115022,Doctorado,Otro,53.0,Artista,Soltero,Buena
46,47001.63394439101,Bachillerato,Femenino,43.0,Ama de casa,Viudo,Mala
61,40143.08341965605,Universitario,Femenino,60.0,Ingeniero,Viudo,Buena
35,,Bachillerato,Femenino,31.0,Estudiante,Casado,Regular
59,49409.08153087038,Maestría,Otro,56.0,Doctor,Casado,Buena
18,40826.27015722015,Maestría,Masculino,45.0,Doctor,Soltero,Regular
40,51683.91164220415,Maestría,Otro,51.0,Doctor,Divorciado,Mala
34,76450.37075696116,Doctorado,Femenino,45.0,Comerciante,Viudo,Buena
60,67175.52926975244,Maestría,Otro,22.0,nan,Divorciado,Buena
54,50217.81396320957,Doctorado,Masculino,45.0,nan,Soltero,Buena
48,,Bachillerato,Masculino,49.0,Doctor,Viudo,Buena
42,66412.87662652056,Doctorado,Masculino,27.0,Estudiante,Viudo,Buena
21,38619.42890778284,Universitario,Masculino,21.0,Ama de casa,Soltero,Buena
26,52267.08029990934,Maestría,Masculino,52.0,nan,Casado,Buena
45,62101.16003793784,Bachillerato,Femenino,44.0,Ama de casa,Viudo,Buena
47,54963.04144619651,Doctorado,Otro,20.0,Comerciante,Viudo,Mala
64,,Doctorado,Femenino,27.0,nan,Viudo,Buena
41,43512.155075427465,Maestría,Masculino,36.0,Artista,Divorciado,Buena
50,44004.7799395537,Bachillerato,Femenino,60.0,Comerciante,Soltero,Buena
37,60686.465486734196,Universitario,Femenino,26.0,nan,Casado,Buena
26,58394.04183690137,Universitario,Masculino,53.0,Doctor,Divorciado,Mala
25,68611.4932582789,Bachillerato,Masculino,52.0,Comerciante,Viudo,Buena
41,27344.579891560123,Maestría,Masculino,23.0,Ama de casa,Divorciado,Mala
31,38519.12705563946,Universitario,Otro,31.0,Artista,Casado,Mala
35,56614.941227926785,Maestría,Femenino,52.0,Comerciante,Soltero,Mala
18,29160.42385780264,Universitario,Femenino,21.0,Ingeniero,Viudo,Mala
29,53789.617296708275,Bachillerato,Masculino,35.0,Comerciante,Viudo,Mala
46,26879.01797079483,Maestría,Femenino,59.0,Ingeniero,Divorciado,Regular
54,82916.59492753119,Maestría,Otro,32.0,Artista,Soltero,Buena
43,59439.24229593427,Doctorado,Femenino,55.0,Ingeniero,Casado,Buena
50,37051.88599702361,Bachillerato,Femenino,49.0,Comerciante,Divorciado,Mala
60,53730.30104230691,Maestría,Femenino,54.0,Artista,Casado,Regular
32,43114.35274755853,Maestría,Masculino,,Estudiante,Divorciado,Regular
40,35198.484008683736,Maestría,Otro,41.0,nan,Viudo,Regular
46,55440.46680348298,Doctorado,Masculino,49.0,Doctor,Casado,Mala
38,,Maestría,Masculino,48.0,Doctor,Viudo,Regular
36,,Doctorado,Masculino,48.0,Ama de casa,Casado,Regular
22,54430.43456517444,Universitario,Otro,60.0,Ama de casa,Divorciado,Mala
40,53244.11872150741,Universitario,Masculino,57.0,Estudiante,Soltero,Regular
53,46138.07281006709,Universitario,Masculino,34.0,nan,Casado,Buena
37,,Bachillerato,Otro,29.0,Comerciante,Viudo,Regular
25,40826.66804807729,Maestría,Masculino,60.0,Estudiante,Soltero,Buena
26,61403.17434665057,Bachillerato,Masculino,28.0,Artista,Soltero,Mala
31,79221.13939629083,Maestría,Femenino,23.0,nan,Divorciado,Buena
23,64855.61095522642,Universitario,Masculino,41.0,Artista,Casado,Regular
18,45904.61459679311,Doctorado,Masculino,50.0,Comerciante,Casado,Mala
26,35112.34181128272,Maestría,Masculino,20.0,Estudiante,Viudo,Regular
33,65812.10717559083,Maestría,Otro,47.0,Artista,Viudo,Regular
33,54320.949892446035,Maestría,Otro,35.0,Comerciante,Casado,Buena
29,32131.60345171719,Bachillerato,Masculino,55.0,Ingeniero,Soltero,Mala
22,62149.681690446196,Doctorado,Otro,29.0,nan,Casado,Regular
57,47798.20308941888,Bachillerato,Otro,31.0,Doctor,Divorciado,Regular
